SMILES,IC50
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1)-c1cc[nH]n1)c1cc(=O)[nH]cn1,0.2
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1C)C(O)=O,0.2
COc1nccnc1N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1C)C(O)=O,0.2
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1C)C(O)=O)c1ccncn1,0.2
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1C)C(O)=O)c1ccncn1,0.2
Cc1nccc(n1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1C)C(O)=O,0.2
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1C)C(O)=O)c1cnccn1,0.2
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1C)C(O)=O)c1ccncn1,0.2
Cc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1C)C(O)=O,0.2
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc2scnc2c1)c1cc(=O)[nH]cn1,0.2
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1C)C(O)=O)c1nccnc1C,0.2
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1)C(O)=O)c1ccncn1,0.2
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1F)C(O)=O,0.4
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1C)C(O)=O)c1ncccn1,0.4
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1)C(O)=O)c1cnccn1,0.4
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1C(O)=O)c1ccc(cc1)-c1ccccc1,0.4
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1cccc(c1)C(O)=O,0.4
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1)C(O)=O,0.4
CNC(=O)c1ccc(cc1)-c1ccc(cc1)N1C(=O)N(c2cc(OC)ncn2)C2(CCN(Cc3ncccc3C)CC2)C1=O,0.5
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1C)C(O)=O)c1cc(ncn1)C(F)(F)F,0.5
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(C(O)=O)c(C)c1,0.5
Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ccccc21)c1ccc(cc1)-c1ccccc1,0.501
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(nc1)-c1ccc(cc1C)C(O)=O)c1cc(=O)[nH]cn1,0.6
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(s1)C(O)=O,0.6
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1)N1CCOCC1)c1cc(=O)[nH]cn1,0.6
OC(=O)CCNC(=O)c1cc(O)c(cn1)C(=O)NC(c1ccccc1)c1ccccc1,0.62
OC(=O)CNC(=O)c1c(O)c2cc(Cl)cnc2n(Cc2ccc(nc2)C(F)(F)F)c1=O,0.65
Cc1cccc(CN2CCC3(CC2)C(=O)N(c2ccc(cc32)C(O)=O)c2ccc(cc2)-c2ccccc2)n1,0.7
Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ccc(cc21)C(O)=O)c1ccc(cc1)-c1ccccc1,0.7
Oc1nc(ncc1NC(=O)Cc1ccc(cc1)-c1ccccc1)-n1cccn1,0.7
O=C(Cc1ccc2ccccc2c1)Nc1cnc([nH]c1=O)-n1cccn1,0.7
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(nc1)-c1ccc(cc1C)C(O)=O)c1ccncn1,0.8
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1)C(N)=O,0.8
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1)C(O)=O)c1ncccn1,0.8
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1Cl)C(O)=O,0.8
OC(=O)CNC(=O)c1c(O)c2cc(cc3OC(Cn(c23)c1=O)c1ccc(cc1)C(F)(F)F)C#N,0.9
Cc1nc(C)c(s1)-c1ccc(cc1)N1C(=O)N(c2cc(=O)[nH]cn2)C2(CCN(Cc3ncccc3C)CC2)C1=O,0.9
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(C(O)=O)c(Cl)c1,1
COc1ccc(cc1)C(NC(=O)c1cnc(nc1O)-c1cccnn1)c1ccc(OC)cc1,1
OC(=O)CNC(=O)c1c(O)c2cc(cc3NC(Cn(c23)c1=O)c1ccc(cc1)C(F)(F)F)C#N,1
Cc1cc(CCC(O)=O)cnc1CN1CCC2(CCN(C2=O)c2ccc(cc2)-c2ccccc2)CC1,1
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(nc1)-c1ccc(cc1C)C(O)=O)c1cnccn1,1
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1)-c1cc(=O)[nH][nH]1,1.1
COc1ccc(cc1)C(NC(=O)c1cnc(nc1O)-n1cccn1)c1ccc(OC)cc1,1.1
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccc(cc1)C(O)=O)c1cc(=O)[nH]cn1,1.1
OC(=O)CNC(=O)c1c(O)c2cc(cc3OC(Cn(c23)c1=O)c1ccc(cc1)C(F)(F)F)C#N,1.3
Oc1nc(ncc1C(=O)NCc1ccc(cc1)-c1ccccc1)-n1cccn1,1.3
COc1ccc(cc1)[C@H](C)NC(=O)c1cnc(nc1O)-n1cccn1,1.4
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc2nc[nH]c2c1,1.5
OC(=O)CNC(=O)c1c(O)c2cc(cc3SC(Cn(c23)c1=O)c1ccc(cc1)C(F)(F)F)C#N,1.5
Cn1c2nc(ncc2c(O)c(C(=O)NCC(O)=O)c1=O)-c1ccccc1F,1.5
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc(cc1)C#N,1.6
Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1ncccc21)c1ccc(cc1)-c1ccccc1,1.6
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(nc1)-c1ccc(cc1)C(O)=O,1.6
COCC[C@H](C)NC(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1)C#N,1.78
OC(=O)CNC(=O)c1c(O)c2cc(cc3OCCn(c23)c1=O)C#N,1.8
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(nc1)-c1ccc(cc1C)C(O)=O,1.9
OC(=O)CNC(=O)c1c(O)c2cc(cc3CC(Cn(c23)c1=O)c1ccc(cc1)C(F)(F)F)C#N,1.9
OC(=O)CNC(=O)c1ncc(cc1O)C#C,1.9
C[C@H](NC(=O)c1cnc(nc1O)-n1cccn1)c1ccc(F)cc1,1.9
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc2cn[nH]c2c1,2
Oc1nc(ncc1C(=O)NC(c1ccccc1)c1ccccc1)-n1cccn1,2
OC(=O)CNC(=O)c1c(O)c2cc(OC(F)(F)F)cc3OC(Cn(c23)c1=O)c1ccc(cc1)C#N,2
Cc1cccnc1CN1CCC2(CC1)N(C(=O)N(C2=O)c1ccc(cc1)-c1ccccc1)c1ncccn1,2.1
Cc1cccnc1CN1CCC2(CC1)C(=O)N(c1cccnc21)c1ccc(cc1)-c1ccccc1,2.1
CC(C)(NC(=O)c1cnc(nc1O)-n1cc(cn1)C(O)=O)c1ccccc1,2.1
CN(C)C(=O)c1ccc(nc1)-n1ncc(c1O)-c1ccc(cc1C)C#N,2.14
Cc1cc(C#N)c(F)cc1-c1cnn(c1O)-c1ccc(cn1)C(=O)N1CCOCC1,2.24
OC(=O)CNC(=O)c1c(O)c2COCc2n(Cc2ccc(Cl)cc2)c1=O,2.3
COc1cc(ncn1)N1C(=O)N(C(=O)C11CCN(Cc2ncccc2C)CC1)c1ccc(cc1)-c1ccc2[nH]ncc2c1,2.3
