,0
0,PubchemFP2
1,PubchemFP3
2,PubchemFP12
3,PubchemFP13
4,PubchemFP15
5,PubchemFP16
6,PubchemFP20
7,PubchemFP21
8,PubchemFP33
9,PubchemFP143
10,PubchemFP146
11,PubchemFP148
12,PubchemFP149
13,PubchemFP181
14,PubchemFP182
15,PubchemFP183
16,PubchemFP184
17,PubchemFP185
18,PubchemFP189
19,PubchemFP192
20,PubchemFP293
21,PubchemFP299
22,PubchemFP308
23,PubchemFP335
24,PubchemFP338
25,PubchemFP339
26,PubchemFP340
27,PubchemFP341
28,PubchemFP345
29,PubchemFP346
30,PubchemFP355
31,PubchemFP356
32,PubchemFP357
33,PubchemFP358
34,PubchemFP365
35,PubchemFP366
36,PubchemFP370
37,PubchemFP371
38,PubchemFP374
39,PubchemFP375
40,PubchemFP376
41,PubchemFP377
42,PubchemFP380
43,PubchemFP381
44,PubchemFP382
45,PubchemFP384
46,PubchemFP387
47,PubchemFP390
48,PubchemFP391
49,PubchemFP392
50,PubchemFP393
51,PubchemFP396
52,PubchemFP403
53,PubchemFP405
54,PubchemFP406
55,PubchemFP418
56,PubchemFP420
57,PubchemFP430
58,PubchemFP431
59,PubchemFP434
60,PubchemFP437
61,PubchemFP439
62,PubchemFP440
63,PubchemFP442
64,PubchemFP443
65,PubchemFP449
66,PubchemFP450
67,PubchemFP451
68,PubchemFP452
69,PubchemFP453
70,PubchemFP464
71,PubchemFP470
72,PubchemFP472
73,PubchemFP476
74,PubchemFP482
75,PubchemFP495
76,PubchemFP498
77,PubchemFP502
78,PubchemFP506
79,PubchemFP516
80,PubchemFP520
81,PubchemFP523
82,PubchemFP524
83,PubchemFP528
84,PubchemFP535
85,PubchemFP536
86,PubchemFP538
87,PubchemFP539
88,PubchemFP540
89,PubchemFP541
90,PubchemFP542
91,PubchemFP545
92,PubchemFP546
93,PubchemFP548
94,PubchemFP549
95,PubchemFP552
96,PubchemFP553
97,PubchemFP555
98,PubchemFP560
99,PubchemFP564
100,PubchemFP565
101,PubchemFP566
102,PubchemFP567
103,PubchemFP569
104,PubchemFP570
105,PubchemFP571
106,PubchemFP573
107,PubchemFP574
108,PubchemFP576
109,PubchemFP578
110,PubchemFP579
111,PubchemFP581
112,PubchemFP584
113,PubchemFP585
114,PubchemFP589
115,PubchemFP592
116,PubchemFP593
117,PubchemFP594
118,PubchemFP595
119,PubchemFP597
120,PubchemFP599
121,PubchemFP600
122,PubchemFP602
123,PubchemFP603
124,PubchemFP604
125,PubchemFP606
126,PubchemFP607
127,PubchemFP608
128,PubchemFP611
129,PubchemFP613
130,PubchemFP614
131,PubchemFP617
132,PubchemFP618
133,PubchemFP619
134,PubchemFP626
135,PubchemFP628
136,PubchemFP633
137,PubchemFP634
138,PubchemFP637
139,PubchemFP638
140,PubchemFP639
141,PubchemFP640
142,PubchemFP641
143,PubchemFP642
144,PubchemFP643
145,PubchemFP645
146,PubchemFP646
147,PubchemFP651
148,PubchemFP654
149,PubchemFP655
150,PubchemFP656
151,PubchemFP657
152,PubchemFP659
153,PubchemFP660
154,PubchemFP662
155,PubchemFP663
156,PubchemFP664
157,PubchemFP665
158,PubchemFP666
159,PubchemFP667
160,PubchemFP668
161,PubchemFP671
162,PubchemFP672
163,PubchemFP677
164,PubchemFP678
165,PubchemFP680
166,PubchemFP681
167,PubchemFP682
168,PubchemFP683
169,PubchemFP684
170,PubchemFP688
171,PubchemFP689
172,PubchemFP690
173,PubchemFP691
174,PubchemFP692
175,PubchemFP693
176,PubchemFP696
177,PubchemFP697
178,PubchemFP698
179,PubchemFP699
180,PubchemFP700
181,PubchemFP701
182,PubchemFP702
183,PubchemFP704
184,PubchemFP708
185,PubchemFP709
186,PubchemFP710
187,PubchemFP712
188,PubchemFP777
189,PubchemFP797
190,PubchemFP798
191,PubchemFP818
192,PubchemFP819
